date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:32:25	45651/45651	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Mar%202024%2007:02:24%20GMT	https://p.w3layouts.com/demosWTR/Freedom/12-03-2021/travelling-freedom-demo_Free/552200862/web/index.html	C:/Users/SI001/Downloads/Tour%20and%20Travel%20Template/p.w3layouts.com/demosWTR/Freedom/12-03-2021/travelling-freedom-demo_Free/552200862/web/index.html	(from )
12:32:26	1003/1003	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Mar%202024%2006:02:48%20GMT	https://p.w3layouts.com/robots.txt		(from )
12:32:28	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2024%20Mar%202024%2007:02:28%20GMT	http://m.servedby-buysellads.com/monetization.js	C:/Users/SI001/Downloads/Tour%20and%20Travel%20Template/m.servedby-buysellads.com/monetization.3.delayed	(from https://p.w3layouts.com/demosWTR/Freedom/12-03-2021/travelling-freedom-demo_Free/552200862/web/index.html)
12:32:30	189152/189152	---MCZ	200	added ('OK')	text/css	date:Fri,%2012%20Mar%202021%2005:50:15%20GMT	https://p.w3layouts.com/demosWTR/Freedom/12-03-2021/travelling-freedom-demo_Free/552200862/web/assets/css/style-freedom.css	C:/Users/SI001/Downloads/Tour%20and%20Travel%20Template/p.w3layouts.com/demosWTR/Freedom/12-03-2021/travelling-freedom-demo_Free/552200862/web/assets/css/style-freedom.css	(from https://p.w3layouts.com/demosWTR/Freedom/12-03-2021/travelling-freedom-demo_Free/552200862/web/index.html)
12:32:31	31000/31000	---MCZ	200	added ('OK')	text/css	date:Wed,%2020%20Jan%202021%2016:54:58%20GMT	https://p.w3layouts.com/assests/css/font-awesome.min.css	C:/Users/SI001/Downloads/Tour%20and%20Travel%20Template/p.w3layouts.com/assests/css/font-awesome.min.css	(from https://p.w3layouts.com/demosWTR/Freedom/12-03-2021/travelling-freedom-demo_Free/552200862/web/index.html)
12:32:31	76292/76292	---MCZ	200	added ('OK')	application/javascript	etag:W/%226f645825fed21deb08b77e9954705f1e%22	https://m.servedby-buysellads.com/monetization.js	C:/Users/SI001/Downloads/Tour%20and%20Travel%20Template/m.servedby-buysellads.com/monetization.js	(from https://p.w3layouts.com/demosWTR/Freedom/12-03-2021/travelling-freedom-demo_Free/552200862/web/index.html)
12:32:33	93100/93100	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	C:/Users/SI001/Downloads/Tour%20and%20Travel%20Template/ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	(from https://p.w3layouts.com/demosWTR/Freedom/12-03-2021/travelling-freedom-demo_Free/552200862/web/index.html)
12:32:33	326/326	---M--	200	added ('OK')	image/png	date:Fri,%2012%20Mar%202021%2005:50:15%20GMT	https://p.w3layouts.com/demosWTR/Freedom/12-03-2021/travelling-freedom-demo_Free/552200862/web/assets/images/search.png	C:/Users/SI001/Downloads/Tour%20and%20Travel%20Template/p.w3layouts.com/demosWTR/Freedom/12-03-2021/travelling-freedom-demo_Free/552200862/web/assets/images/search.png	(from https://p.w3layouts.com/demosWTR/Freedom/12-03-2021/travelling-freedom-demo_Free/552200862/web/index.html)
12:32:33	26081/26081	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Mar%202024%2007:02:33%20GMT	https://p.w3layouts.com/demosWTR/Freedom/12-03-2021/travelling-freedom-demo_Free/552200862/web/about.html	C:/Users/SI001/Downloads/Tour%20and%20Travel%20Template/p.w3layouts.com/demosWTR/Freedom/12-03-2021/travelling-freedom-demo_Free/552200862/web/about.html	(from https://p.w3layouts.com/demosWTR/Freedom/12-03-2021/travelling-freedom-demo_Free/552200862/web/index.html)
12:32:34	20802/20802	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Mar%202024%2007:02:33%20GMT	https://p.w3layouts.com/demosWTR/Freedom/12-03-2021/travelling-freedom-demo_Free/552200862/web/services.html	C:/Users/SI001/Downloads/Tour%20and%20Travel%20Template/p.w3layouts.com/demosWTR/Freedom/12-03-2021/travelling-freedom-demo_Free/552200862/web/services.html	(from https://p.w3layouts.com/demosWTR/Freedom/12-03-2021/travelling-freedom-demo_Free/552200862/web/index.html)
12:32:34	22864/22864	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Mar%202024%2007:02:34%20GMT	https://p.w3layouts.com/demosWTR/Freedom/12-03-2021/travelling-freedom-demo_Free/552200862/web/pricing.html	C:/Users/SI001/Downloads/Tour%20and%20Travel%20Template/p.w3layouts.com/demosWTR/Freedom/12-03-2021/travelling-freedom-demo_Free/552200862/web/pricing.html	(from https://p.w3layouts.com/demosWTR/Freedom/12-03-2021/travelling-freedom-demo_Free/552200862/web/index.html)
12:32:35	20618/20618	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Mar%202024%2007:02:34%20GMT	https://p.w3layouts.com/demosWTR/Freedom/12-03-2021/travelling-freedom-demo_Free/552200862/web/gallery.html	C:/Users/SI001/Downloads/Tour%20and%20Travel%20Template/p.w3layouts.com/demosWTR/Freedom/12-03-2021/travelling-freedom-demo_Free/552200862/web/gallery.html	(from https://p.w3layouts.com/demosWTR/Freedom/12-03-2021/travelling-freedom-demo_Free/552200862/web/index.html)
